产检之痛 糖 筛   T:baby F:food 62.9975,11.9611,9.6563,25.4926,13.7600,59.9720,24.9093,216.4657,57.6900,13.6405,11.3137,31.7645,15.1020,38.0498,21.2224,39.1010,14.9674,12.6341
菲律宾 色情 业 猖獗 父母 诱逼 孩子 镜头 前 表演   T:baby F:world 92.9304,0.0047,0.0016,10.0111,0.0385,0.0113,0.0161,0.5984,0.0363,0.5967,1.9674,0.3251,37.5647,0.2641,2.2851,0.0066,6.0952,334.9178
西部 低地 大猩猩 首当妈 单手 抱娃 样子 一看 标准 辣妈   T:baby F:fashion 264.5984,11.9611,9.6563,101.9767,13.7600,287.8795,24.9093,24.0503,11.5380,13.6405,11.3137,21.1763,30.2039,25.3644,10.6112,13.0315,14.9674,50.5300
男人 爱 女人 就别 环   T:baby F:fashion 2802.5139,126.2429,0.8795,4874.7503,4684.7849,17359.1070,6.5169,7427.8555,15.8122,4880.2482,17.7668,12386.2711,221.2316,164.6693,585.7294,24.3820,801.7480,697.5522
饼干 在家 做 健康 放心   T:baby F:food 99.9329,0.0261,0.0098,0.5008,1.2137,1.5491,3.9664,42232.0225,0.0135,0.0250,0.0306,77.1670,21.6512,0.1745,0.5894,1.7736,0.1829,2.3149
观花婆 见到 说 命中注定 无子   T:baby F:essay 5040.0035,2165.3813,328.3405,2651.4452,6866.1120,2051.1423,1133.3649,2032.3610,1142.2300,3670.0327,1493.5108,455.2909,2069.0070,1686.8107,1018.6522,2137.6196,1556.4442,1402.2644
说 懂   T:baby F:essay 5151.6396,1939.8785,111.4749,1318.2190,15869.0267,1151.4908,792.7661,1105.7467,534.5522,1249.8296,659.0564,225.9700,926.1910,734.2518,168.8925,1521.3439,581.4253,331.6355
充气 娃娃 媲美 超模 双眼   T:baby F:fashion 37.7998,23.9285,9.6563,165.7177,13.7600,1163.5112,12.4546,12.0252,23.0760,13.6405,11.3137,10.5882,15.1020,101.4639,21.2224,13.0315,44.8956,88.4324
当年 岁 抽 根烟 小孩 年   T:baby F:society 878.1924,8.1976,0.4478,5476.5660,2.3333,18.7578,4.7053,27.8362,20.4414,1101.5753,41.1968,64.0782,5496.7203,1290.7164,380.8364,17.9501,48.0740,847.4450
想到 父亲 父亲节   T:baby F:society 554.4009,107.6688,9.6563,637.3655,151.3574,23.9926,37.3639,72.1574,69.2280,559.3751,135.7766,10.5882,1087.3604,126.8283,689.7126,26.0695,74.8303,341.0889
一线 男明星 生 女儿 女儿 盘点 听 性别 猜想   T:baby F:entertainment 10.7147,0.0000,0.0000,12.9133,0.0004,0.0006,0.0000,0.0002,0.0013,0.0079,0.0000,0.0001,0.0096,0.0016,0.0171,0.0000,0.0003,0.0113
乐高 小人 头上 小孔 做   T:baby F:history 136.9870,18.7520,13.8440,28.1435,52.5106,34.5616,32.4270,289.2247,20.7678,827.5911,16.3755,50.7993,61.9108,18.5734,85.7658,150.5496,20.9670,20.9158
疙瘩汤 竟有 做法 胜过 山珍海味 做 孩子   T:baby F:food 309.0070,0.0274,0.0011,0.1616,0.0978,0.0204,0.0026,27371.7020,0.0044,0.2681,0.0043,4.6796,1.9383,0.0035,0.6596,0.0506,0.0320,0.0474
孩子 身份 宝强 间接 承认 抚养权 偏向 马蓉   T:baby F:entertainment 63.9498,0.1540,0.0031,290.4651,0.0513,0.0198,0.0301,0.0249,0.0097,0.6630,0.0045,0.0232,45.3931,0.0354,1.8770,0.0877,0.0152,0.4008
四胞胎 女 宝宝 超 可爱 网友 称 我要 带回家   T:baby F:entertainment 3358.1966,0.9207,0.2946,10597.9159,0.0043,26.3183,0.0799,9.4464,19.5614,0.0649,4.5692,0.0036,210.0967,6.5758,0.0960,2.3158,2.5963,250.7760
原创 没建上 档 可怜 急 守住 善良   T:baby F:essay 0.1461,1.6333,0.0412,2.0417,11.9255,0.0168,0.0752,0.0381,0.0710,0.9890,0.0141,0.0181,1.0059,0.1787,0.9115,0.2802,0.7833,0.0589
王家 湾 地铁站 热闹 找   T:baby F:travel 5.4498,5.1344,4.0069,18.7577,10.3543,4.2642,10.6477,4.7377,3.7382,4.0646,4.7928,4.8172,64.0458,4.2669,17.1531,6.6247,182.3963,20.9129
盐 厉害 可惜 人太少   T:baby F:history 27.7394,23.4457,8.7436,65.9109,40.6758,51.6266,4.8399,155.4471,57.3194,485.5228,71.8965,105.9782,12.8089,95.3571,1.7593,33.9247,30.7480,7.9678
婚后 年 未孕   T:baby F:history 995.4025,2189.3035,1042.9670,2613.2032,536.6298,1223.4895,3686.5577,1142.4543,1280.6860,4788.7764,2738.1084,465.8790,4258.8361,3475.0789,848.8755,2372.2384,2559.1540,3019.2959
条件 下会 传染 艾滋病毒   T:baby F:regimen 0.2478,0.2232,0.3642,0.2536,0.7396,0.4489,0.2420,0.2256,0.2077,0.2903,0.1997,7.0068,0.3558,0.5020,0.4398,0.2649,0.3495,0.2490
岁 女 神童 高考 成绩 曝光 大跌眼镜   T:baby F:society 62.9304,2.0611,0.0078,1166.7731,0.0322,3.9506,0.3632,0.0236,8.6834,6.8563,2.8541,0.2811,4508.3886,52.0581,1.0524,0.9307,0.3742,66.1875
穷 养儿 富 养女 含义   T:baby F:story 62.9975,155.5258,28.9715,165.7177,13.7600,23.9926,74.7278,24.0503,23.0760,68.2152,11.3137,10.5882,181.2299,63.4141,212.2189,65.1705,44.8956,50.5300
孕妇 五月 不吃 姜 六月 不吃 藕 老理儿 真的 科学 道理   T:baby F:regimen 0.0046,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
国庆 突遇 降温 几款 时髦 孕妇装 保暖 扮美 两不误   T:baby F:fashion 0.0052,0.0179,0.0005,0.0010,0.0043,255.4946,0.0013,0.0381,0.0089,0.0013,0.0032,0.0015,0.0012,0.0002,0.0008,0.0048,0.0267,0.0025
一张 图 学会 音符 长短   T:baby F:food 894.5988,215.3440,28.9715,63.7346,412.7923,515.7871,298.9111,1455.1213,173.0636,40.9279,79.2020,158.8224,120.8157,139.5137,42.4448,364.9598,59.8630,37.8959
趣萌 文具 岁 娃 精选 大牌 文具 一站式 省时 省心 省钱   T:baby F:entertainment 188.5391,1.2001,0.1099,329.9447,0.5565,314.5131,0.6818,1.5238,0.1720,2.6323,0.1692,1.9562,34.2118,13.9646,4.1019,1.0780,4.0143,57.1166
