;0.0015,0.0027,0.0026,0.0012,0.1228,0.0013,0.0013,0.0035,0.0012,0.0014,0.0025,0.0059,0.0028,0.0013,0.0050,0.0014,0.0055,0.0026
霍金白;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
纳西;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
普法;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0026,0.0014,0.0012,0.0028,0.0025,0.0030,0.0132,0.0013,0.0023,0.0014,0.0016,0.0013
容量;0.0028,0.0027,0.0077,0.0024,0.0046,0.0026,0.0013,0.0014,0.0024,0.0014,0.0025,0.0030,0.0014,0.0026,0.0023,0.0075,0.0016,0.0013
宠辱不惊;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
滁州;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0051,0.0026,0.0023,0.0014,0.0016,0.0013
欣喜若狂;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0028,0.0013,0.0072,0.0014,0.0016,0.0013
寻觅;0.0015,0.0027,0.0105,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0039,0.0026
李准;0.0015,0.0013,0.0026,0.0063,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
生态圈;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0075,0.0016,0.0013
GDP;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0243,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0067,0.0023,0.0014,0.0099,0.0082
来件;0.0015,0.0013,0.0026,0.0012,0.0046,0.0035,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
dota2;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0039,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
白食;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
纲要;0.0015,0.0013,0.0026,0.0040,0.0046,0.0013,0.0044,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
曾孙;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0048,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
张云龙;0.0015,0.0013,0.0026,0.0040,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
工人;0.0015,0.0071,0.0026,0.0024,0.0046,0.0013,0.0044,0.0028,0.0024,0.0047,0.0025,0.0030,0.0403,0.0042,0.0023,0.0061,0.0039,0.0176
丈母娘;0.0035,0.0092,0.0026,0.0041,0.0090,0.0013,0.0013,0.0088,0.0012,0.0035,0.0012,0.0059,0.0168,0.0042,0.0023,0.0014,0.0032,0.0013
笔记本;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0051,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0297,0.0016,0.0013
酒水;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0057,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0026
方向盘;0.0015,0.0243,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0035,0.0016,0.0013
暧昧;0.0015,0.0013,0.0026,0.0075,0.0090,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0028,0.0032,0.0098,0.0014,0.0039,0.0044
景泰;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
屹立;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0061,0.0012,0.0030,0.0014,0.0026,0.0023,0.0014,0.0039,0.0013
锡伯杜;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
绿宝石;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0051,0.0013,0.0023,0.0014,0.0032,0.0013
自查;0.0028,0.0013,0.0026,0.0012,0.0046,0.0026,0.0105,0.0014,0.0012,0.0014,0.0012,0.0150,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
条例;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0025,0.0030,0.0051,0.0013,0.0023,0.0014,0.0016,0.0013
加勒比;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0055,0.0026
李云迪;0.0015,0.0013,0.0026,0.0075,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
巨丰;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
工事;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0065,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
波音;0.0015,0.0027,0.0105,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0238,0.0030,0.0014,0.0013,0.0023,0.0035,0.0032,0.0082
周薪;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0067,0.0023,0.0014,0.0016,0.0013
颧骨;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
被告人;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0091,0.0013,0.0023,0.0014,0.0016,0.0013
预防针;0.0036,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
纵览;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0036,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
耐心;0.0115,0.0027,0.0026,0.0024,0.0046,0.0013,0.0013,0.0028,0.0039,0.0014,0.0025,0.0059,0.0028,0.0042,0.0023,0.0014,0.0016,0.0026
聚餐;0.0015,0.0013,0.0026,0.0051,0.0046,0.0013,0.0026,0.0123,0.0024,0.0014,0.0012,0.0030,0.0043,0.0013,0.0023,0.0014,0.0016,0.0013
碾压;0.0050,0.0197,0.0052,0.0051,0.0046,0.0126,0.0035,0.0014,0.0178,0.0035,0.0097,0.0030,0.0076,0.0135,0.0050,0.0075,0.0016,0.0026
变革;0.0015,0.0013,0.0077,0.0012,0.0046,0.0013,0.0114,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0186,0.0016,0.0038
GIF;0.0035,0.0027,0.0026,0.0036,0.0046,0.0013,0.0013,0.0028,0.0051,0.0014,0.0025,0.0030,0.0091,0.0367,0.0023,0.0028,0.0032,0.0013
股东;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.1533,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0099,0.0016,0.0013
致癌物;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0035,0.0012,0.0014,0.0012,0.0178,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第71;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0044
敲诈;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0025,0.0030,0.0076,0.0026,0.0122,0.0028,0.0016,0.0013
白饭;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0035,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
呕血;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
腐竹;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0123,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
骰子;0.0015,0.0013,0.0077,0.0024,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
红豆;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0150,0.0012,0.0014,0.0012,0.0266,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
测试;0.0141,0.0614,0.0393,0.0075,0.0136,0.0083,0.0082,0.0088,0.0973,0.0014,0.0400,0.0120,0.0167,0.0067,0.0050,0.0421,0.0055,0.0129
赵丽娜;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0080,0.0023,0.0014,0.0016,0.0013
命根子;0.0035,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0089,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
嗷嗷;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0047,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
名酒;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0075,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
贫困户;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0051,0.0013,0.0023,0.0014,0.0016,0.0013
重工;0.0015,0.0013,0.0026,0.0012,0.0046,0.0026,0.0057,0.0014,0.0012,0.0014,0.0032,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
卡巴内瑞;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0039,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
卫生部;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0120,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
肠道;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0088,0.0012,0.0014,0.0012,0.0266,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
眼花;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
俄亥俄州;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0044
工会;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0038
巨人;0.0028,0.0044,0.0131,0.0040,0.0090,0.0013,0.0026,0.0014,0.0261,0.0061,0.0078,0.0088,0.0043,0.0211,0.0023,0.0047,0.0032,0.0069
李剑;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
演员;0.0015,0.0013,0.0026,0.1416,0.0046,0.0113,0.0013,0.0014,0.0157,0.0088,0.0025,0.0120,0.0062,0.0043,0.0023,0.0028,0.0039,0.0056
工伤;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0012,0.0030,0.0105,0.0013,0.0023,0.0014,0.0016,0.0026
饥荒;0.0015,0.0013,0.0077,0.0012,0.0046,0.0013,0.0026,0.0014,0.0188,0.0061,0.0012,0.0030,0.0014,0.0013,0.0072,0.0014,0.0016,0.0038
腹痛;0.0078,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0178,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
纸醉金迷;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0038
方药;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0060,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
GLA;0.0015,0.0141,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
GLC;0.0015,0.0092,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
Yeezy350BoostV2;0.0015,0.0013,0.0026,0.0012,0.0046,0.0043,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
合金;0.0015,0.0013,0.0132,0.0012,0.0046,0.0013,0.0013,0.0014,0.0114,0.0014,0.0053,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
GL8;0.0015,0.0209,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
无线;0.0015,0.0044,0.0132,0.0051,0.0046,0.0013,0.0036,0.0014,0.0031,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0682,0.0016,0.0044
测评;0.0050,0.0172,0.0026,0.0024,0.0046,0.0069,0.0026,0.0088,0.0136,0.0014,0.0025,0.0030,0.0014,0.0042,0.0023,0.0150,0.0032,0.0013
希特勒;0.0015,0.0013,0.0052,0.0024,0.0046,0.0013,0.0013,0.0028,0.0012,0.0755,0.0172,0.0030,0.0014,0.0026,0.0023,0.0028,0.0016,0.0069
易碎;0.0015,0.0013,0.0026,0.0012,0.0136,0.0013,0.0013,0.0035,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
无缘;0.0028,0.0044,0.0026,0.0051,0.0136,0.0013,0.0013,0.0014,0.0063,0.0028,0.0025,0.0089,0.0014,0.0734,0.0023,0.0075,0.0016,0.0045
嵩山;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0087,0.0013
第47;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0041,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第44;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
嗜好;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0061,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
CSIRO;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
肇俊;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
石油;0.0015,0.0033,0.0077,0.0024,0.0046,0.0026,0.0579,0.0014,0.0012,0.0035,0.0089,0.0030,0.0028,0.0026,0.0023,0.0028,0.0032,0.0493
故里;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0025,0.0030,0.0043,0.0026,0.0050,0.0014,0.0184,0.0013
风险;0.0115,0.0033,0.0077,0.0024,0.0090,0.0013,0.0973,0.0035,0.0031,0.0028,0.0041,0.0413,0.0119,0.0042,0.0072,0.0109,0.0016,0.0164
第31;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0065,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
Robonaut5;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
纪要;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0082,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第35;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0051,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
最少;0.0015,0.0027,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
郑元畅;0.0015,0.0013,0.0026,0.0040,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
第38;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0028,0.0041,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0013
第39;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
老伴儿;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
味蕾;0.0050,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0172,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
