;1
高利贷;1
覆;1
影子;1
陪酒;2
书写;1
死者;3
学会;3
欣喜若狂;2
欢喜;1
好事;3
爆炸;1
下岗;1
地气;1
夜间;1
白食;1
女警;9
默默;1
下山;3
埋头;1
追赶;4
觅;2
规;1
观;2
特技;1
觉;13
暧昧;3
角;4
上山;9
卖家;1
相亲;12
夺回;1
神秘;14
泣不成声;2
公寓;2
放下;1
好人;3
送货;1
盘踞;1
解;4
欣喜;1
当年;3
县令;1
好不;1
冲动;2
异样;1
意外;42
挂念;1
女伴;1
碾压;1
色鬼;5
褪;1
那种;3
传家宝;2
医德;1
奖励;1
蝴蝶;4
丢失;7
股东;1
不容;1
阿三儿;1
敲诈;4
白饭;1
裤子;5
急用;1
心脏;6
测试;1
纪事;1
顺利;1
阳寿;4
想尽;1
命根子;1
公子;6
约会;4
近代;1
奉命;2
千年;47
羞涩;1
女佣;1
返乡;2
追踪;3
逃走;2
饥荒;2
倾家荡产;1
苦不堪言;1
腹痛;1
梦幻;1
阿婷;1
全家;18
唾沫;1
祭祀;1
穷书生;1
有时候;1
大姨;1
不孕;1
紧紧;1
夫妇;2
不孝;4
故事;1079
故里;1
风险;2
硬币;1
大姐;1
嘲讽;1
王精;1
小姨子;1
掉落;1
自有;1
原创;1
神童;1
冻僵;1
拐骗;2
袭;1
老伴儿;1
水桶;1
不起眼;5
故乡;2
中学生;1
奸计;1
百年;30
医师;3
满头;1
裙;3
装;13
金额;1
裂;3
车子;2
无话可说;1
夫妻;17
外面;2
寿衣;1
疼痛;3
裸;4
老总;6
失声;1
关键;4
孤魂;1
裤;2
月子;1
入室;3
东头;2
地震;6
预兆;3
上学;3
小个子;1
气氛;1
大娘;2
领养;2
天天;2
关头;1
情感;3
惊悉;2
大打出手;1
修补;1
清理;1
药箱;1
正中;1
三十一日;1
中国;6
大陆;1
屁股;3
外孙;1
冰冷;1
朝外;1
讨论;1
大奖;2
狂奔;1
查看;4
关门;6
船工;3
玉米;1
白带;1
惊恐;2
修行;1
罪犯;1
冰凉;1
天门;1
天大;3
老奶奶;4
忍不住;4
大门;1
相伴;2
街;7
对视;1
衡水;1
水柱;1
行;11
具备;1
相会;1
血;35
黑龙;1
乱坟岗;3
迷路;3
牵扯;1
太太;1
大妈;4
赶集;1
城外;1
图片;1
自杀;15
大起大落;1
衰;1
白骨;1
工业;1
家里;32
趣事;1
正义;1
衫;1
河塘;1
相识;1
祭祖;1
兴奋;1
表;2
遗言;2
兄弟;17
相仿;2
衣;4
重地;1
通话;2
认;6
体验;8
计;4
负心;6
孤儿;5
订;4
训;2
恋爱;3
三嫂;1
随即;1
讨;13
现眼;1
房租;2
隐身;2
记;24
讲;15
买主;1
成群;1
设;5
对话;2
许;12
讹;1
怪癖;1
唱歌;1
收入;1
敌人;1
水果;1
揭示;1
石榴;1
猎人;9
气死;1
珍珠;2
幼童;1
空间;1
诡;5
脊背;1
大院;1
一：;2
金庸;3
跌进;1
语;7
误;17
绿色;1
黑手;1
说;113
珊瑚;1
请;22
门板;1
读;5
侮辱;4
钱财;3
神农架;1
支出;2
桃树;1
逼迫;1
一家;5
证;3
娘娘庙;1
招来;10
机器;1
识;3
评;1
留给;3
好像;1
诉;1
诈;3
跑车;1
试;1
炸雷;1
诞;3
话;47
知母;1
妇人;3
束手无策;3
认账;1
白面;1
求救;4
心动;1
防空洞;1
埋葬;3
对象;3
精神病;1
小解;1
孩儿;1
打电话;3
拼抢;1
血泪;1
恼羞成怒;1
拿手;1
挺身而出;1
还债;3
冲走;1
习俗;2
村口;2
院墙;1
夜宿;4
大婶;1
奢华;1
女儿;48
游泳;1
高速;1
千岁;4
纸人;4
骗局;1
入院;2
太婆;1
捉奸;1
警;12
不好;1
半辈子;1
探亲;2
巧克力;1
空姐;1
缠绵;1
偷看;5
讲话;1
大雾;1
平等;1
大嫂;3
茫茫;1
合适;2
去世;46
大雪;1
意味着;1
女兵;1
大雨;3
七十二;1
寒酸;2
农历;1
间断;1
模特;1
无能;1
聊天;3
打的;1
太守;1
木头;1
血流;2
支离破碎;1
招魂;2
越来越;1
工作;9
福相;1
有生以来;1
程序员;1
有轨;1
誓;1
母猪;1
马独行;1
还魂;4
戳穿;2
设计;5
大寿;1
征婚;1
瓜分;1
逃跑;2
引来;13
竞争;1
难以;1
久别;1
恶毒;1
听说;7
油嘴;1
秦汀;1
德艺双馨;1
人心惶惶;1
贪心;5
难于;1
三好;1
揭秘;13
巧计;1
救人;9
盗贼;1
GayBar;1
甜蜜;2
节前;1
哲理;1
之内;1
阴影;4
收到;8
审问;1
后边;1
瞑目;2
追随;1
颠倒;2
道谢;1
军区;1
缓缓;1
来到;4
难产;1
叫花子;1
十字;1
瞎眼;1
老伙计;2
充饥;1
沉寂;1
裙子;2
登山;2
窝囊;1
归还;1
匿名信;1
越南;3
上天;1
公堂;1
大学;11
频出;1
阴魂;3
全镇;2
勾搭;1
忠义;2
金库;1
破损;1
玻璃;1
法力;2
讹诈;1
言;15
包括;1
农贸市场;1
退隐;2
巴西;1
流言;1
圣母;1
母爱;1
喘息;2
相见;1
幸福;8
成则福;1
收养;10
面目;2
许诺;1
随口;2
埋藏;1
举动;13
一不小心;1
场面;1
丈夫;54
兔子;3
古井;1
跌;2
情敌;1
过道;2
不堪;1
野兽;1
频频;1
骷髅;4
冠军;1
迷人;1
推荐;2
沉默;2
原因;8
跛;1
舒服;1
处女;1
跑;34
忍受;1
路;45
冒险;4
跪;7
野外;3
昏迷不醒;1
参加;8
外地;1
狂喜;1
军刀;1
水浒;1
跳;16
本分;1
越;5
旺盛;1
完了;1
分裂;1
古代;12
完事;2
世均;1
超;7
姻缘;8
商务部;1
流行;1
凌辱;4
浪荡;1
外国;8
趟;3
入乡随俗;1
迎合;1
回程;1
疯狂;16
胁迫;2
偷电;1
飞车;1
逆行;1
醒悟;4
停车场;1
大哥;4
出言;2
汇款;1
主动;7
阎王爷;2
迎面;1
乡下;7
假戏真做;4
同归于尽;1
泪如雨下;4
足;2
趴;3
死于非命;4
浩荡;1
偷生;1
钉子户;1
一头;1
过后;5
丧命;9
赎;1
角落;1
赏;2
赌;11
路费;1
攻击;1
赖;1
赔;5
摧毁;1
木匠;9
赑;1
赐;1
水泥;1
贪便宜;2
赞;1
基因;1
赛;2
揭穿;1
赚;5
指定;1
赤;1
真言;1
当成;2
毕淑敏;1
发光;1
赠;6
财大;1
赢;2
多嘴;1
温泉;1
夫君;1
政治家;1
赵;1
赴;4
丧心病狂;1
透过;1
走;63
察觉;2
黑心;3
善心;5
洗冤;1
可不;1
乞丐;14
弱智;1
阔少;1
逍遥;2
电脑;3
负;2
财;13
赴任;1
贤;1
败;4
有钱;2
货;4
白天;2
老百姓;1
贪;1
购;2
贱;2
破案;5
大餐;1
反击;1
贵;3
贴;5
贷;1
费;3
皮鞋;1
培土;1
末班车;2
九万;1
贼;23
金光;1
无穷;3
教训;9
亲眼目睹;1
趣闻;1
中医;4
罗布泊;1
改变;12
受伤;2
花轿;3
乔二;1
善恶;5
彼岸;2
下场;2
地点;1
随之;1
全场;3
惧怕;1
夺取;3
教学楼;1
金鱼;1
上坟;3
欣赏;1
赚取;1
危害;1
酿成;4
突发;3
童养媳;2
前缘;1
家财;1
城市;3
照镜子;1
貌;3
助理;1
貂;1
水沟;1
元宝;1
高升;1
挣钱;3
艺妓;1
运动;1
中华;1
乖乖;2
全国;3
衣服;20
听见;4
陷入;6
夜场;2
无端;2
祈福;1
狙击;1
口中;3
血水;1
显灵;5
风水宝地;3
豆;1
泄露;5
女郎;1
跟踪;5
定下;1
小时候;10
百姓;5
骗子;14
入魔;2
农作物;1
逃逸;1
沧州;1
衣柜;5
车座;1
骨头;1
三国;1
象;5
奇闻;33
疯狗;1
艰难;2
豪;8
特工;2
守候;2
谜;8
滑坡;1
辱骂;1
调;3
里头;1
张果;1
孝顺;4
谈;21
谋;1
好运;1
短篇小说;1
握紧;1
逃避;1
谴;5
恩将仇报;2
驶往;1
招待;1
头发;3
头颅;1
高原;1
谭;1
窃听;1
迭;2
救起;2
放过;3
卧室;7
家道;1
连载;2
追;10
武当山;1
数万;2
述;2
卸妆;1
迷;14
迈;2
被害;6
黑幕;1
财富;2
棍子;1
迎;2
儿子;117
路边;7
冒充;1
迁;8
金龙;3
宅院;1
官人;1
进;105
捏造;1
迟;1
路过;8
远;7
违;1
特种部队;1
大地;1
运;1
口述;2
别致;1
返;2
双胞胎;4
改造;1
辩;2
血案;3
被子;1
律师;1
河面;1
驼子;1
达;2
孵化;1
心地;1
辱;3
加班;4
黑店;1
灵魂;13
辈;2
辆;9
明白;4
三四;2
辞;1
破旧;1
输;2
改道;1
兽医;1
车;33
退伍;5
挽回;1
儿媳;10
转;4
烈酒;1
轮;1
厉鬼;3
软;4
金子;1
穷光蛋;1
退休;2
出血;2
轻;6
实习;4
载;7
北方;1
轿;2
蝌蚪;1
野史;1
熟睡;1
生产;3
飞跃;1
国王;2
守陵;1
之下;2
快艇;1
岳父;3
叔伯;1
一块;1
隧道;2
道观;2
夜明珠;2
救兵;1
迹象;1
颤动;1
之中;4
光头;2
陷阱;8
相貌;1
打猎;5
透视;6
背负;1
老板;37
巧遇;2
暑期;1
奇功;2
翻案;1
穷追不舍;1
黑帮;3
演义;1
威胁;3
反串;1
严刑;1
来世;1
毒瘤;1
闺房;3
左边;1
时空;1
吝啬鬼;2
精品;1
检验;1
梦想;1
忘却;1
八哥;2
瓦解;1
践踏;1
先天;1
反反复复;1
渔民;2
破口大骂;1
外婆;8
年级;1
兄妹;5
年纪;3
住院;2
金刚;2
强暴;2
天堂;7
堵住;2
来临;2
同一天;1
躺;14
